file,name_zh,purpose,format,kind,width,height,alpha,note
01_Glass/WindChime_symbol_glass.png,琉璃主图形 · 透明底,网站主视觉、海报、较大尺寸展示,PNG,raster,617,1081,True,由选定原稿分离，原生导出尺寸617×1081；非3D源文件
01_Glass/WindChime_symbol_glass.webp,琉璃主图形 · WebP,网页加载,WEBP,raster,617,1081,True,与PNG同源，保留透明通道
04_Monochrome/WindChime_symbol_mono_navy.svg,同源单色主图形 / navy,印刷、烫印、刻字及单色场景,SVG,vector,,,,路径文件，不含嵌入位图或字体
04_Monochrome/WindChime_symbol_mono_navy.png,同源单色主图形 / navy,印刷、烫印、刻字及单色场景,PNG,raster,800,1369,True,透明底，由矢量导出
04_Monochrome/WindChime_symbol_mono_navy.pdf,同源单色主图形 / navy,印刷、烫印、刻字及单色场景,PDF,vector,,,,矢量PDF；白色版本的白页预览可能不可见
04_Monochrome/WindChime_symbol_mono_black.svg,同源单色主图形 / black,印刷、烫印、刻字及单色场景,SVG,vector,,,,路径文件，不含嵌入位图或字体
04_Monochrome/WindChime_symbol_mono_black.png,同源单色主图形 / black,印刷、烫印、刻字及单色场景,PNG,raster,800,1369,True,透明底，由矢量导出
04_Monochrome/WindChime_symbol_mono_black.pdf,同源单色主图形 / black,印刷、烫印、刻字及单色场景,PDF,vector,,,,矢量PDF；白色版本的白页预览可能不可见
04_Monochrome/WindChime_symbol_mono_white.svg,同源单色主图形 / white,印刷、烫印、刻字及单色场景,SVG,vector,,,,路径文件，不含嵌入位图或字体
04_Monochrome/WindChime_symbol_mono_white.png,同源单色主图形 / white,印刷、烫印、刻字及单色场景,PNG,raster,800,1369,True,透明底，由矢量导出
04_Monochrome/WindChime_symbol_mono_white.pdf,同源单色主图形 / white,印刷、烫印、刻字及单色场景,PDF,vector,,,,矢量PDF；白色版本的白页预览可能不可见
04_Monochrome/WindChime_symbol_small_navy.svg,小尺寸简化图形 / navy,导航栏、浏览器标签、小尺寸图标,SVG,vector,,,,路径文件，不含嵌入位图或字体
04_Monochrome/WindChime_symbol_small_navy.png,小尺寸简化图形 / navy,导航栏、浏览器标签、小尺寸图标,PNG,raster,512,512,True,透明底，由矢量导出
04_Monochrome/WindChime_symbol_small_black.svg,小尺寸简化图形 / black,导航栏、浏览器标签、小尺寸图标,SVG,vector,,,,路径文件，不含嵌入位图或字体
04_Monochrome/WindChime_symbol_small_black.png,小尺寸简化图形 / black,导航栏、浏览器标签、小尺寸图标,PNG,raster,512,512,True,透明底，由矢量导出
04_Monochrome/WindChime_symbol_small_white.svg,小尺寸简化图形 / white,导航栏、浏览器标签、小尺寸图标,SVG,vector,,,,路径文件，不含嵌入位图或字体
04_Monochrome/WindChime_symbol_small_white.png,小尺寸简化图形 / white,导航栏、浏览器标签、小尺寸图标,PNG,raster,512,512,True,透明底，由矢量导出
03_Wordmarks/WindChime_wordmark_color.png,原稿中英文字标 · 彩色,独立字标、页尾、品牌署名,PNG,raster,495,285,True,
03_Wordmarks/WindChime_wordmark_chinese_color.png,原稿中文字标 · 彩色,中文标题、中文品牌署名,PNG,raster,471,189,True,
03_Wordmarks/WindChime_wordmark_english_color.png,原稿英文字标 · 彩色,英文品牌署名,PNG,raster,355,58,True,
03_Wordmarks/WindChime_wordmark_bilingual_navy.svg,中英文字标 · 描摹路径 / navy,独立字标、印刷及深浅背景,SVG,vector,,,,路径文件，不含嵌入位图或字体
03_Wordmarks/WindChime_wordmark_bilingual_navy.png,中英文字标 · 描摹路径 / navy,独立字标、印刷及深浅背景,PNG,raster,1000,576,True,透明底，由矢量导出
03_Wordmarks/WindChime_wordmark_bilingual_navy.pdf,中英文字标 · 描摹路径 / navy,独立字标、印刷及深浅背景,PDF,vector,,,,矢量PDF；白色版本的白页预览可能不可见
03_Wordmarks/WindChime_wordmark_bilingual_white.svg,中英文字标 · 描摹路径 / white,独立字标、印刷及深浅背景,SVG,vector,,,,路径文件，不含嵌入位图或字体
